CustomerID,City,Zip Code,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,Churn Score,CLTV,Monthly_Charges_bin,Total_Charges_bin,Tenure_Months_bin
8773-HHUOZ,Los Angeles,90032,Female,Young,0,No,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,1,74,3022,Mid,Mid,12-24
6047-YHPVI,Los Angeles,90039,Male,Young,0,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,66,2454,Mid,Low,3-6
5380-WJKOV,Los Angeles,90041,Male,Young,0,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,65,2941,Very High,High,+25
8168-UQWWF,Los Angeles,90042,Female,Young,0,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,70,5674,Very High,Mid,6-12
7760-OYPDY,Los Angeles,90056,Female,Young,0,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,90,5586,High,Low,0-3
9420-LOJKX,Los Angeles,90061,Female,Young,0,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,82,2966,Very High,Mid,12-24
7495-OOKFY,Los Angeles,90063,Female,Senior,1,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,69,5302,High,Low,6-12
1658-BYGOY,Los Angeles,90065,Male,Senior,0,Yes,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,81,3179,Very High,Mid,12-24
5698-BQJOH,Beverly Hills,90211,Female,Young,0,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,96,5571,Very High,Mid,6-12
5919-TMRGD,Huntington Park,90255,Female,Young,0,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,87,2483,High,Low,0-3
9191-MYQKX,Lynwood,90262,Female,Young,1,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,70,3457,High,Low,6-12
8637-XJIVR,Marina Del Rey,90292,Female,Young,0,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,86,5806,High,Mid,6-12
0278-YXOOG,Inglewood,90301,Male,Young,0,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,1,66,2604,Low,Low,3-6
4598-XLKNJ,Inglewood,90303,Female,Senior,1,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,1,88,5337,Very High,Mid,+25
3192-NQECA,Santa Monica,90403,Male,Young,1,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1,86,5034,Very High,High,+25
0486-HECZI,Torrance,90504,Male,Young,1,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,1,75,5154,Very High,High,+25
4846-WHAFZ,Whittier,90602,Female,Senior,1,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,1,67,2793,High,High,+25
5299-RULOA,Whittier,90606,Female,Young,1,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,1,87,5998,Very High,Mid,6-12
0404-SWRVG,La Habra,90631,Male,Young,0,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,1,76,4415,High,Low,0-3
4412-YLTKF,Pico Rivera,90660,Female,Senior,0,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,1,95,4638,High,Mid,+25
6207-WIOLX,Avalon,90704,Female,Young,1,No,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,1,99,4190,Mid,Mid,+25
3091-FYHKI,Harbor City,90710,Male,Young,0,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,1,80,2301,Low,Low,0-3
2372-HWUHI,Lakewood,90712,Male,Young,0,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,1,76,2570,Mid,Low,0-3
0390-DCFDQ,Los Alamitos,90720,Female,Senior,1,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,1,76,3964,High,Low,0-3
4080-OGPJL,San Pedro,90731,Female,Young,0,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,1,66,2662,High,Low,6-12
2135-RXIHG,Carson,90745,Male,Young,0,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,1,73,2600,Mid,Low,0-3
3874-EQOEP,Long Beach,90804,Male,Young,0,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,1,94,2786,Very High,Low,6-12
0867-MKZVY,Altadena,91001,Female,Young,1,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,1,86,5719,High,Mid,12-24
3376-BMGFE,Monrovia,91016,Female,Young,0,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,1,75,4287,High,Low,3-6
3445-HXXGF,Sierra Madre,91024,Male,Senior,1,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,1,100,5444,Mid,Mid,+25
1875-QIVME,Tujunga,91042,Female,Young,1,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,1,83,4690,Very High,Low,0-3
0691-JVSYA,Pasadena,91103,Female,Young,1,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,1,80,4328,Very High,High,+25
2656-FMOKZ,Pasadena,91106,Female,Senior,0,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,1,99,5717,High,Mid,12-24
2070-FNEXE,Pasadena,91107,Female,Senior,0,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,1,81,4419,High,Low,6-12
6317-YPKDH,Glendale,91202,Female,Young,0,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,1,95,4534,Low,Low,0-3
9367-WXLCH,Glendale,91204,Male,Young,0,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,1,86,2152,High,Low,6-12
1918-ZBFQJ,Glendale,91206,Female,Young,0,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,1,73,5142,High,Mid,12-24
1024-GUALD,Glendale,91207,Female,Young,1,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,1,94,4851,Low,Low,0-3
2472-OVKUP,Canoga Park,91304,Male,Young,1,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,531.0,1,94,2283,Very High,Low,3-6
1285-OKIPP,Mission Hills,91345,Male,Young,0,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,1,98,3394,High,Low,0-3
7825-ECJRF,Santa Clarita,91350,Female,Young,0,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,1,71,3764,Very High,Mid,12-24
7841-TZDMQ,Sun Valley,91352,Male,Young,0,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,84.5,1,76,2667,Mid,Low,0-3
9408-SSNVZ,Stevenson Ranch,91381,Female,Young,0,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,1,67,2227,Mid,Low,3-6
0742-MOABM,Panorama City,91402,Male,Young,1,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,1,82,3394,Mid,Low,3-6
2232-DMLXU,Van Nuys,91411,Female,Young,1,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,1,81,3638,Mid,Low,0-3
8937-RDTHP,Burbank,91504,Male,Young,0,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,1,66,2484,High,Low,0-3
1251-KRREG,North Hollywood,91601,Male,Young,0,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,1,81,2556,Mid,Low,0-3
0094-OIFMO,North Hollywood,91605,Female,Senior,0,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,1,85,5980,Very High,Mid,6-12
9947-OTFQU,Covina,91722,Male,Senior,0,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,1,86,4616,High,Mid,12-24
0322-YINQP,Covina,91723,Male,Young,0,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,1,77,5687,Mid,Low,0-3
4629-NRXKX,El Monte,91731,Female,Young,1,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,147.15,1,75,5687,High,Low,0-3
9514-JDSKI,El Monte,91732,Male,Senior,1,No,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,1,65,5828,Mid,Low,0-3
4959-JOSRX,La Puente,91744,Female,Young,1,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,1,99,4884,Mid,Low,0-3
7273-TEFQD,La Puente,91746,Male,Senior,0,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,1,96,2314,Mid,Low,0-3
3606-TWKGI,Rowland Heights,91748,Male,Senior,0,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,1,84,2494,Very High,Mid,12-24
6323-AYBRX,Ontario,91762,Male,Young,0,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,1099.6,1,83,5084,Low,Mid,+25
4385-GZQXV,Ontario,91764,Female,Senior,0,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,1,81,3810,Very High,Mid,12-24
6366-ZGQGL,Pomona,91766,Male,Young,0,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,1,73,5087,Low,Low,0-3
5940-AHUHD,Pomona,91768,Male,Young,0,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,70.6,1,69,3338,High,Low,0-3
6432-TWQLB,Rosemead,91770,Male,Young,1,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,401.1,1,80,3676,High,Low,3-6
4484-GLZOU,San Dimas,91773,Female,Young,1,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,1,65,4839,Very High,High,+25
9512-UIBFX,West Covina,91791,Male,Young,1,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,1779.95,1,68,4643,Very High,Mid,12-24
5583-SXDAG,Alhambra,91803,Male,Young,1,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.0,70.0,1,97,4094,Mid,Low,0-3
3488-PGMQJ,Alpine,91901,Male,Senior,0,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,606.55,1,80,4345,High,Low,6-12
3580-REOAC,Bonita,91902,Male,Young,0,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,435.4,1,83,4061,Mid,Low,6-12
7534-BFESC,Boulevard,91905,Male,Senior,0,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,1,98,2018,High,Mid,12-24
6390-DSAZX,Guatay,91931,Female,Young,0,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.6,73.6,1,80,2565,High,Low,0-3
8098-LLAZX,Jacumba,91934,Female,Senior,0,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,1,85,3677,Very High,Low,3-6
0265-EDXBD,Mount Laguna,91948,Male,Senior,1,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,2303.35,1,69,4105,High,Mid,+25
7563-BIUPC,Borrego Springs,92004,Male,Young,0,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6,415.55,1,69,5715,High,Low,3-6
2321-OMBXY,Carlsbad,92009,Female,Young,1,No,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),80.3,3058.65,1,81,2071,High,High,+25
2840-XANRC,Del Mar,92014,Male,Senior,1,No,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05,1,73,2212,Very High,Mid,12-24
5020-ZSTTY,El Cajon,92020,Female,Senior,0,No,54,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),82.45,4350.1,1,83,4149,High,High,+25
5804-LEPIM,Escondido,92029,Female,Senior,0,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,139.05,1,73,2671,Mid,Low,0-3
0122-OAHPZ,Oceanside,92057,Female,Young,0,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25,1,67,2473,High,Low,6-12
2868-SNELZ,Pala,92059,Female,Young,0,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,80.6,155.8,1,92,2683,High,Low,0-3
4322-RCYMT,Palomar Mountain,92060,Male,Young,1,No,68,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.8,5293.95,1,81,4903,High,High,+25
6680-NENYN,Pauma Valley,92061,Female,Young,0,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,104.6,4759.85,1,91,5250,Very High,High,+25
1343-EHPYB,Ranchita,92066,Male,Young,1,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.4,6603.0,1,98,4352,Very High,High,+25
2034-GDRCN,Valley Center,92082,Female,Young,0,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,1,76,4157,Very High,Low,0-3
0219-YTZUE,San Diego,92103,Male,Young,1,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,1,73,4939,High,Low,3-6
0623-IIHUG,San Diego,92104,Female,Senior,0,No,21,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,41.9,840.1,1,97,4778,Mid,Mid,12-24
4572-DVCGN,San Diego,92105,Female,Young,0,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.25,846.0,1,85,3598,High,Mid,6-12
9057-MSWCO,San Diego,92108,Male,Senior,1,No,27,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),30.75,805.1,1,91,2927,Low,Mid,+25
1010-DIAUQ,San Diego,92116,Male,Young,0,No,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.5,492.55,1,98,5383,Very High,Low,3-6
0259-GBZSH,San Diego,92122,Male,Young,0,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.65,181.5,1,73,3878,High,Low,0-3
9601-BRXPO,San Diego,92129,Female,Young,1,No,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,2566.5,1,66,3642,Very High,Mid,+25
6905-NIQIN,San Diego,92154,Male,Young,0,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,50.65,50.65,1,76,2431,Mid,Low,0-3
5167-ZFFMM,Indio,92201,Male,Young,0,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,90.85,1,81,3424,Very High,Low,0-3
4895-TMWIR,Indian Wells,92210,Male,Senior,1,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,214.75,1,80,5888,Low,Low,6-12
0533-BNWKF,Palm Desert,92211,Female,Senior,1,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.45,4874.7,1,100,5502,High,High,+25
6599-CEBNN,Desert Hot Springs,92240,Female,Young,0,No,34,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.95,2524.45,1,94,5795,High,Mid,+25
0979-PHULV,Holtville,92250,Male,Young,1,No,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.45,7007.6,1,80,4020,Very High,High,+25
4800-VHZKI,Niland,92257,Female,Young,0,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.9,19.9,1,92,3351,Low,Low,0-3
7989-CHGTL,North Palm Springs,92258,Male,Young,0,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,19.6,1,95,3448,Low,Low,0-3
0334-GDDSO,Ocotillo,92259,Male,Senior,0,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.35,233.7,1,73,2818,High,Low,0-3
0578-SKVMF,Seeley,92273,Female,Young,1,No,22,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,83.3,1845.9,1,88,3804,High,Mid,12-24
5564-NEMQO,Thermal,92274,Female,Senior,0,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.3,75.3,1,67,4902,High,Low,0-3
9063-ZGTUY,Adelanto,92301,Female,Young,1,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.4,1182.55,1,82,4221,Low,Mid,+25
2957-LOLHO,Apple Valley,92307,Male,Young,0,No,12,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45.4,518.9,1,68,2887,Mid,Low,6-12
7752-XUSCI,Crestline,92325,Female,Young,0,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9,6396.45,1,84,4105,Very High,High,+25
4110-PFEUZ,Daggett,92327,Female,Young,0,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.55,69.55,1,73,2792,Mid,Low,0-3
0256-LTHVJ,Ludlow,92338,Female,Young,1,No,28,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.05,2227.1,1,98,5201,High,Mid,+25
0880-TKATG,Lucerne Valley,92356,Male,Young,1,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,101.15,385.9,1,84,4417,Very High,Low,3-6
3811-VBYBZ,Lytle Creek,92358,Male,Young,0,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,673.25,1,98,2031,Very High,Low,6-12
4640-UHDOS,Phelan,92371,Female,Young,1,No,13,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,55.95,734.35,1,91,4498,Mid,Mid,12-24
3583-EKAPL,Redlands,92373,Male,Young,0,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.0,55.0,1,71,4877,Mid,Low,0-3
9399-APLBT,Rialto,92377,Female,Young,1,No,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.7,74.7,1,80,5980,High,Low,0-3
2359-KMGLI,Running Springs,92382,Male,Young,0,No,24,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,80.25,1861.5,1,77,4418,High,Mid,12-24
0306-JAELE,Tecopa,92389,Male,Young,0,No,5,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.1,453.4,1,66,4192,Very High,Low,3-6
6227-HWPWX,Victorville,92392,Female,Young,0,No,15,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.0,994.8,1,73,5671,Mid,Mid,12-24
0447-BEMNG,Wrightwood,92397,Female,Young,1,No,48,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),45.3,2145.0,1,65,4926,Mid,Mid,+25
5949-XIKAE,San Bernardino,92401,Female,Young,1,No,8,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.55,680.05,1,65,2879,High,Mid,6-12
8372-JUXUI,San Bernardino,92410,Male,Young,0,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,74.35,1,93,2814,High,Low,0-3
0388-EOPEX,Riverside,92503,Female,Young,1,No,2,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,139.4,1,77,4263,High,Low,0-3
8205-OTCHB,Riverside,92506,Male,Young,0,No,22,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),43.75,903.6,1,66,3099,Mid,Mid,12-24
6235-VDHOM,Riverside,92509,Female,Senior,0,No,5,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,28.45,131.05,1,89,4099,Low,Low,3-6
7783-YKGDV,March Air Reserve Base,92518,Female,Young,0,No,12,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),99.7,1238.45,1,76,2538,Very High,Mid,6-12
5609-CEBID,Hemet,92544,Female,Senior,0,No,20,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,94.1,1782.4,1,87,2666,Very High,Mid,12-24
7218-HKQFK,Homeland,92548,Male,Young,1,No,2,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.2,167.5,1,72,3715,Very High,Low,0-3
4636-QRJKY,Idyllwild,92549,Female,Young,1,No,6,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,80.5,502.85,1,98,5032,High,Low,3-6
5956-VKDTT,Moreno Valley,92557,Female,Senior,1,No,5,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,334.8,1,82,5273,High,Low,3-6
